family,variant,prompts,exact_match_rate,mean_edit_ratio,mean_token_jaccard,mean_cosine,judge_equivalent_rate,judged_prompts
arc,dyadic_4,20,0.0,0.24441044915138396,0.1059984511575898,0.6775894462210366,0.0,7
arc,dyadic_5,20,0.0,0.3713397705717259,0.2904140710272827,0.9144331261088506,0.5714285714285714,7
arc,dyadic_6,20,0.0,0.4177962023405287,0.33029402015179776,0.9359375420303016,0.8571428571428571,7
arc,dyadic_8,20,0.0,0.4372943573900258,0.36150437798846036,0.9433014570242657,1.0,7
arc,dyadic_g32_4,20,0.0,0.2813267191351633,0.19449601044178252,0.8751407095524406,0.14285714285714285,7
arc,dyadic_g32_5,20,0.0,0.3817401972795015,0.29627184825714475,0.920618429955554,0.7142857142857143,7
arc,dyadic_g32_6,20,0.0,0.5149648451789094,0.431066128086427,0.9588734678905096,0.7142857142857143,7
arc,dyadic_g32_8,20,0.05,0.6145685806548679,0.5252439718176485,0.9740654848265713,0.875,8
arc,q4_k_m,20,0.0,0.3381769898385626,0.24658710720521415,0.899524546731611,0.2857142857142857,7
arc,q6_k,20,0.0,0.41210888584211663,0.3308887665553069,0.9463435233629198,0.8571428571428571,7
arc,q8_0,20,0.0,0.40647690767933414,0.31366007148758374,0.9419801527578813,1.0,7
wikitext,dyadic_4,10,0.0,0.2457040247933627,0.10475884165311675,0.6618080090952302,,0
wikitext,dyadic_5,10,0.0,0.278022214382604,0.15200243007370262,0.7255754280032671,,0
wikitext,dyadic_6,10,0.0,0.31307929857458594,0.19191701756002538,0.7285910494428898,,0
wikitext,dyadic_8,10,0.0,0.3162572012100001,0.204595673478328,0.8047753877568441,,0
wikitext,dyadic_g32_4,10,0.0,0.2641968232627508,0.12548940768310696,0.6584866447035814,,0
wikitext,dyadic_g32_5,10,0.0,0.28332897434024706,0.16735924278544284,0.7507842598563694,,0
wikitext,dyadic_g32_6,10,0.0,0.334160351483436,0.2146967047275083,0.7656652416038577,,0
wikitext,dyadic_g32_8,10,0.0,0.42669598056572466,0.32427534791331925,0.8677894966296525,,0
wikitext,q4_k_m,10,0.0,0.25605446950034666,0.11421120527441515,0.6377800336068595,,0
wikitext,q6_k,10,0.0,0.28485143425369314,0.13005650297452442,0.7027487422886718,,0
wikitext,q8_0,10,0.0,0.2919918045866658,0.12474318270564874,0.7017543539507185,,0
